fold,epoch,train_loss,val_loss,val_dice,best_dice_so_far,best_epoch_so_far,epochs_no_improve,epoch_time_sec
2,42,0.10602936604991556,0.14548011496663094,0.7585816979408264,0.8291201591491699,38,4,38.87479066848755
2,43,0.10522611178457737,0.12201036810874939,0.8011841773986816,0.8291201591491699,38,5,38.84403610229492
2,44,0.10094794258475304,0.10795043483376503,0.8247430920600891,0.8291201591491699,38,6,38.155396938323975
2,45,0.09781454764306545,0.1078394554555416,0.8226860761642456,0.8291201591491699,38,7,38.897839307785034
2,46,0.09790105316787959,0.1070628248155117,0.8260306119918823,0.8291201591491699,38,8,38.697741985321045
2,47,0.10834527295082808,0.11206610947847366,0.8165607452392578,0.8291201591491699,38,9,38.32734799385071
2,48,0.09740774836391211,0.10934573784470558,0.8194616436958313,0.8291201591491699,38,10,38.34518885612488
2,49,0.09864011202007532,0.11042540594935417,0.8165693283081055,0.8291201591491699,38,11,38.32518553733826
2,50,0.10132421106100083,0.09929505735635757,0.836743175983429,0.836743175983429,50,0,38.40948510169983
2,51,0.0980107014067471,0.13181983008980752,0.7771444320678711,0.836743175983429,50,1,38.3150908946991
2,52,0.10210376167669892,0.09916832894086838,0.8354989886283875,0.836743175983429,50,2,38.995240211486816
2,53,0.10039375172927975,0.10378328934311867,0.8277292251586914,0.836743175983429,50,3,39.15545439720154
2,54,0.09516336089000106,0.10410091951489449,0.8255111575126648,0.836743175983429,50,4,38.50239086151123
2,55,0.09158422015607356,0.09669794887304306,0.8380289077758789,0.8380289077758789,55,0,38.55011534690857
2,56,0.09124957583844662,0.09974967837333679,0.8320361971855164,0.8380289077758789,55,1,38.70352602005005
2,57,0.08970558885484933,0.10223800614476204,0.826546311378479,0.8380289077758789,55,2,38.56627678871155
2,58,0.0931191205047071,0.10393972247838974,0.8241979479789734,0.8380289077758789,55,3,38.90124154090881
2,59,0.0876085794530809,0.10012460425496102,0.8305427432060242,0.8380289077758789,55,4,38.42196226119995
2,60,0.08795664738863707,0.11043766811490059,0.8108922839164734,0.8380289077758789,55,5,38.091511487960815
